년,월,생태구역,연안명칭,"St.
No
",해수수질기준,표층수온,저층수온,표층염분,저층염분,표층pH,저층pH,표층DO,저층DO,표층COD,저층COD,표층NH4-N,저층NH4-N,표층NO2-N,저층NO2-N,표층NO3-N,저층NO3-N,표층DIN,저층DIN,표층T-N,저층T-N,표층DIP,저층DIP,표층T-P,저층T-P,표층SiO2-Si,저층SiO2-Si,표층SS,저층SS,표층Chl-a,저층Chl-a,표층투명도,Ds,구군
2015.0,2.0,동해,주문진연안,1,1,7.605,7.6277,34.05,34.1444,8.05,8.05,9.831646360211806,9.817529335267654,0.7629376000000021,0.1504384000000006,13.076,5.109999999999999,3.976,3.0380000000000003,103.334,100.954,120.386,109.102,331.85684,325.4892200000001,16.089000000000002,15.686,25.04087,23.6158,346.6,335.05,2.5999999999999908,1.899999999999985,0.546,0.25,9.0,9.573169338848317,주문진
2015.0,2.0,동해,주문진연안,2,1,7.8078,6.2342,34.157,34.0769,8.09,8.03,10.150508309334974,9.811786500391547,0.4244512000000005,0.3116224,6.9860000000000015,4.885999999999999,4.298,2.5340000000000003,101.64,102.942,112.924,110.362,346.90684,336.154,14.973,16.492,24.22123,25.01204,347.6,328.41,2.500000000000002,2.3999999999999853,0.878,0.1908,11.0,9.893346446731947,주문진
2015.0,2.0,동해,주문진연안,3,1,7.772,5.9553,34.1657,34.1047,8.1,8.03,9.767805180006432,9.969137865454266,0.3277407999999997,0.5856352,3.0380000000000003,5.152,4.872,2.366,97.23,106.064,105.14,113.582,329.06678,323.449,13.981,16.74,21.8302,24.0994,332.1,327.71,2.2999999999999963,2.2999999999999963,0.688,0.13779999999999998,11.0,9.957037627864011,주문진
2015.0,2.0,동해,주문진연안,4,1,7.3834,5.0278,34.1707,34.0307,8.1,8.08,9.513450113238854,10.066248410573603,1.0691872000000011,0.3116224,1.526,4.466,5.124,2.31,96.586,89.124,103.236,95.9,187.55058,206.23512,14.322,13.609000000000002,20.78612,19.448780000000006,327.2,278.68,1.5000000000000009,1.3999999999999846,0.506,0.14,13.0,10.185459906993286,주문진
2015.0,2.0,동해,주문진연안,5,1,5.3229,5.135,34.0775,34.0563,8.13,8.12,10.514278433980227,10.41915729602898,0.6178720000000022,0.4405696000000001,7.084,5.2780000000000005,2.884,2.842,63.994,62.88800000000001,73.962,71.008,196.90636,192.41194,11.222,9.331,18.47755,19.06314,199.2,215.15,2.1000000000000183,1.4000000000000123,0.192,1.08,13.0,10.157448885755846,주문진
2015.0,2.0,동해,강릉연안,1,2,5.3660000000000005,5.4101,33.9957,34.0804,8.13,8.13,10.613709850274423,10.569957764386633,0.5533984000000007,0.5695168000000004,23.842,9.884,3.22,2.87,64.148,60.088,91.21,72.842,245.09772,216.92174,9.362,8.432,20.29012,18.21963,204.4,195.55,1.5000000000000009,1.7000000000000068,2.72,2.16,11.0,10.088926394076333,강릉
2015.0,2.0,동해,강릉연안,2,2,5.5362,5.5274,34.0991,34.0999,8.13,8.13,10.587877129588014,10.511996306439693,0.3599776000000019,0.4244512000000005,21.896,4.914,2.702,2.688,56.588,56.112,81.186,63.714,221.88306,211.32664,9.424,8.246,19.72158,17.650470000000006,179.8,177.8,2.200000000000008,2.1000000000000183,2.42,2.9,13.0,10.059347413295209,강릉
2015.0,2.0,동해,강릉연안,3,1,5.3118,5.1961,34.0532,34.0586,8.11,8.1,10.569068783038084,10.414993881754855,0.27938560000000073,0.5856352,9.534,4.045999999999999,3.01,3.08,61.81,64.064,74.354,71.19,225.02578,215.56262,10.106,9.672,17.503529999999998,16.714889999999997,209.6,224.76,1.2,0.2,0.37799999999999995,0.254,11.0,10.142362945894435,강릉
2015.0,2.0,동해,강릉연안,4,1,5.4163,5.3668,34.0906,34.0846,8.13,8.13,10.526683468753763,10.501898353383645,0.6017535999999997,0.6823456000000008,11.9,4.956,2.8,2.786,59.332,59.5,74.032,67.242,219.40632,215.99816,9.982,8.835,18.76678,17.4282,182.2,183.32,1.5,2.1000000000000183,2.12,2.44,11.0,10.09912724286343,강릉
2015.0,2.0,동해,강릉연안,5,1,6.1454,4.9312,34.0958,34.0316,8.12,8.12,10.333614475001536,10.567554209347524,0.3116224,0.5050432000000017,4.885999999999999,4.045999999999999,3.276,3.0380000000000003,75.75399999999998,64.624,83.916,71.708,231.35056,224.87332,11.749,9.889,18.47259,16.858729999999998,254.5,230.89,1.0,1.0,0.1796,0.0874,13.0,10.209202613290415,강릉
2015.0,2.0,동해,강릉연안,6,1,5.3671,5.2383,34.0748,34.0653,8.11,8.13,10.54021108985248,10.625605584021626,0.7629376000000021,0.6017535999999997,6.58,2.758,2.87,3.08,60.326,64.05,69.77600000000001,69.88799999999999,227.9879,228.79737999999998,9.796,9.641,17.90312,17.4809,199.4,217.36,1.1000000000000176,1.2000000000000066,1.836,1.26,13.0,10.131626161162947,강릉
2015.0,2.0,동해,강릉연안,7,1,5.3807,5.3644,34.0803,34.0823,8.13,8.14,10.683770090345263,10.713117984766317,0.6823456000000008,0.5211616000000013,6.5100000000000025,5.586,2.94,2.898,59.15,59.90600000000001,68.6,68.39,230.38036,230.4162,9.486,8.804,17.791829999999994,18.01131,188.7,190.34,1.1999999999999789,0.9000000000000119,1.7819999999999998,2.12,11.0,10.099861248354133,강릉
2015.0,2.0,동해,동해연안,1,1,7.0435,5.8817,34.0875,34.094,8.11,8.1,9.936908978836193,9.914391804168245,0.4728063999999995,0.4405696000000001,5.7120000000000015,3.43,3.752,3.472,89.08200000000002,81.872,98.546,88.774,273.65086,250.58642000000003,13.578,12.028,20.85215,18.77856,300.6,278.71,0.40000000000001146,0.20000000000000573,0.87,0.588,11.0,9.97514723862932,동해
2015.0,2.0,동해,동해연안,2,1,14.1489,6.7031,33.8466,34.0534,8.12,8.11,9.917927104211094,10.127224645074184,0.6823456000000008,0.5050432000000017,3.556,1.876,3.696,3.276,97.412,77.714,104.664,82.866,273.07826,256.60936,14.074000000000002,11.315,20.4662,18.57551,295.1,268.72,0.9000000000000119,0.7999999999999952,0.5479999999999999,0.402,13.0,9.78644288420551,동해
2015.0,2.0,동해,동해연안,3,1,7.4399,5.8447,34.1557,34.0924,8.14,8.12,9.748608806493804,10.216210729593243,0.7468191999999995,0.5695168000000004,1.68,2.674,3.836,3.2060000000000004,87.416,78.54,92.932,84.42,263.78618,258.7074,13.206,11.222,19.437620000000006,18.831570000000006,293.7,266.25,1.2999999999999956,0.5000000000000004,0.644,0.598,10.0,9.984026062366963,동해
2015.0,2.0,동해,동해연안,4,1,5.9612,5.0226,34.1037,34.0438,8.11,8.11,10.252226410081542,10.385941661892891,0.6017535999999997,0.9080032000000016,3.850000000000001,2.086,2.38,2.968,75.502,63.392,81.732,68.446,241.68942,236.9304,11.873,9.858,17.949930000000005,16.793010000000002,252.9,225.43,0.40000000000001146,0.09999999999998899,0.574,0.684,13.0,10.185859889216816,동해
2015.0,2.0,동해,삼척연안,1,1,8.8388,5.51,34.1919,34.0555,8.14,8.06,9.5057673912137,9.886203018965675,0.0330079999999993,1.15,1.3159999999999998,2.94,2.926,2.842,77.92399999999998,78.428,82.16600000000003,84.21,252.59584,270.75566000000003,10.943,10.912,17.43223,19.30494,245.6,251.94,0.2999999999999947,0.5999999999999894,0.502,0.344,13.0,10.066467229974329,삼척
2015.0,2.0,동해,삼척연안,2,1,8.4848,8.0993,33.9632,34.2012,8.11,8.13,9.674870594936076,9.582486605825244,0.2145519999999984,0.09902400000000082,2.73,1.036,4.074,3.78,109.816,87.66799999999998,116.62,92.484,298.2819,274.9075,13.206,12.121,20.62678,19.37748,313.6,294.81,1.2999999999999956,0.7000000000000062,0.524,0.5760000000000001,12.0,9.46691129409019,삼척
2015.0,2.0,동해,삼척연안,3,1,9.1279,7.9243,34.1945,34.1853,8.13,8.11,9.554786675740893,9.756587138047935,0.5116240000000009,0.46211199999999897,0.938,1.386,3.024,4.032,81.494,87.794,85.456,93.212,264.00723999999997,272.9804,11.501,12.369000000000002,18.40346,19.35795,270.2,305.26,0.7000000000000062,0.7999999999999952,0.518,0.6920000000000001,11.0,9.505778476528446,삼척
2015.0,2.0,동해,삼척연안,4,1,9.9678,6.4595,34.1873,34.0531,8.1,8.0,9.654421599839177,9.36636009640015,0.8086960000000004,0.2970719999999996,0.378,0.924,2.464,1.988,80.066,137.158,82.90799999999999,140.07,260.39187999999996,330.23032,11.036,19.375,17.005979999999994,25.310570000000002,237.9,376.26,1.7,3.8,0.1048,0.0626,13.0,9.842520940384562,삼척
2015.0,2.0,동해,죽변연안,1,1,10.3,7.6661,34.19,34.1142,8.12,8.07,9.364024195229863,8.969924326253711,0.31357599999999924,0.4291039999999997,4.522,0.7559999999999999,2.17,2.562,76.748,100.702,83.44,104.02,264.11952,290.48054,10.788,13.64,17.425720000000002,19.851470000000006,224.1,291.0,0.6000000000000172,1.600000000000018,0.488,0.41,12.0,9.566590277720575,죽변
2015.0,2.0,동해,죽변연안,2,2,11.3511,6.2989,34.1866,34.0934,8.1,8.0,9.369119254291883,8.822687010927025,0.26406400000000024,0.08251999999999826,11.718,0.966,2.366,2.282,78.33,125.09,92.414,128.338,278.15844,322.84728,11.408,17.453,17.77385,23.78475,247.6,347.93,1.5000000000000009,2.0000000000000018,0.264,0.1988,11.0,9.877197868195207,죽변
2015.0,2.0,동해,죽변연안,3,1,10.1222,9.8425,34.202,34.1879,8.11,8.09,9.305531371156349,9.241332962103323,0.3795920000000008,0.3630880000000011,1.078,2.408,2.6180000000000003,3.234,72.226,74.242,75.922,79.884,271.16642,271.17272,10.23,10.106,17.11076,17.422620000000002,207.1,219.07,0.2,0.4,0.1598,0.1828,15.0,9.104685341842595,죽변
2015.0,2.0,동해,죽변연안,4,1,10.0532,8.9486,34.2022,34.1527,8.1,8.07,9.238199795873806,8.841028412807148,0.34658399999999856,0.16503999999999944,1.386,1.778,2.506,3.122,72.744,98.798,76.63600000000002,103.698,272.42362,307.03484,10.23,13.515999999999998,17.826549999999994,20.52913,216.5,305.17,0.8999999999999841,0.9000000000000119,0.562,0.238,15.0,9.28971841936196,죽변
2015.0,2.0,동해,죽변연안,5,2,10.445,5.7618,34.1906,34.0241,8.1,7.98,9.350028548647378,8.903884473271509,0.3630880000000011,0.2805679999999999,6.188,3.136,2.282,1.7919999999999998,78.05,137.256,86.52,142.184,281.19798000000003,341.9238200000001,10.85,18.662,17.80702,25.476110000000002,233.7,385.36,1.7000000000000068,1.7999999999999958,0.448,0.206,11.0,10.008212300207665,죽변
2015.0,2.0,동해,죽변연안,6,2,10.7616,6.1088,34.1938,34.0538,8.11,7.99,9.369699977847665,8.898676081573383,0.6766640000000003,0.16503999999999944,1.344,2.884,2.338,1.638,75.124,133.378,78.806,137.89999999999998,274.92556,344.2908,11.005,18.91,17.511280000000006,25.45782,237.8,374.7,1.600000000000018,2.0999999999999908,0.334,0.1706,11.0,9.924199728216632,죽변
2015.0,2.0,동해,후포연안,1,1,10.0574,9.9907,34.2109,34.2091,8.1,8.13,9.552442353302142,9.512950363323784,0.13203200000000012,0.3795920000000008,1.6380000000000001,1.218,2.87,2.814,67.158,68.012,71.666,72.044,271.06534,274.42646,9.362,8.897,15.631749999999998,15.75978,197.9,196.7,1.0,0.6,0.348,0.276,15.0,9.073766966135617,후포
2015.0,2.0,동해,후포연안,2,1,9.9869,9.9089,34.2029,34.2025,8.1,8.11,9.538103267310994,9.515823289427814,0.3300799999999989,0.5446320000000002,1.26,2.366,2.604,2.464,70.82600000000002,70.574,74.69,75.404,282.4703,279.47696,10.075,9.517,16.34816,16.384120000000006,216.0,219.18,1.0000000000000009,1.2999999999999956,0.772,0.7,13.0,9.09051461213936,후포
2015.0,2.0,동해,축산연안,1,1,9.669,9.4797,34.2147,34.2156,8.1,8.1,9.330818435672317,9.385198600617306,0.4291039999999997,0.3795920000000008,4.004,3.738,2.758,2.702,76.426,74.80199999999998,83.18799999999997,81.242,293.95464,294.3787,12.059,10.880999999999998,17.4127,17.3569,256.3,255.42,1.4000000000000123,1.2999999999999956,0.276,0.406,15.0,9.176515804640287,축산
2015.0,2.0,동해,축산연안,2,1,9.7573,9.4466,34.2127,34.218,8.12,8.12,9.269447772863249,9.337759133975496,0.3300799999999989,0.5446320000000002,3.052,2.5340000000000003,2.8,2.6460000000000004,76.384,73.626,82.236,78.80600000000003,295.66068,293.9284600000001,11.656,10.54,16.74868,17.5212,250.3,250.18,1.0,0.6,0.10800000000000001,0.16440000000000002,15.0,9.183128724545178,축산
2015.0,2.0,동해,강구연안,1,1,9.6846,9.1264,34.2028,34.2073,8.08,8.08,9.355317316195276,9.034219667449793,0.6436560000000011,0.04951199999999895,2.786,8.847999999999997,3.0660000000000003,2.8560000000000003,76.832,80.01,82.684,91.714,298.63707999999997,317.2936200000001,11.345999999999998,12.369000000000002,16.52486,19.41592,250.5,293.24,0.5999999999999894,0.40000000000001146,0.5,0.274,13.0,9.249560955876976,강구
2015.0,2.0,동해,강구연안,2,1,9.4765,9.4761,34.2112,34.1157,8.08,8.1,9.226036392078218,9.134086019417477,0.775688000000001,0.6601600000000006,7.8820000000000014,4.41,2.898,2.8,82.88,74.564,93.66,81.77399999999999,191.01488,197.48932,12.307,10.757,20.28547,18.40718,278.4,265.86,1.6,1.4,0.0694,0.08220000000000001,13.0,9.183096868333426,강구
2015.0,2.0,동해,월포연안,1,1,9.5824,9.3539,34.2134,34.2138,8.08,8.09,9.364024195229863,9.368587629642759,0.5941439999999991,0.4786159999999986,4.494,4.662,2.8560000000000003,2.772,75.628,73.822,82.978,81.256,203.9891,206.54242,11.439,10.478,18.09439,17.505390000000002,257.0,257.38,1.2,1.4,0.0882,0.14880000000000002,12.0,9.202336989232851,월포
2015.0,2.0,동해,월포연안,2,1,9.6871,9.4161,34.2099,34.2248,8.09,8.11,9.302671600006123,9.354374363751251,0.5116240000000009,0.5446320000000002,4.3260000000000005,5.362,3.0660000000000003,2.5340000000000003,76.986,72.002,84.37799999999999,79.898,209.10358,214.57394,11.594,10.509,16.731939999999998,18.35355,258.4,255.75,0.7000000000000062,1.0000000000000009,0.462,0.374,13.0,9.188961036935394,월포
2015.0,2.0,동해,영 일 만,1,3,8.9633,8.498,33.8933,34.1963,8.07,8.06,10.194611435039134,9.554733470246196,0.37409066666666657,0.4236026666666684,79.366,37.898,5.992000000000001,4.27,130.704,98.952,216.062,141.12,374.60486000000003,300.0102,11.656,11.098,20.47488,18.96394,335.0,301.11,2.1000000000000183,1.7999999999999958,0.472,0.486,7.0,9.38188948275053,영 일 
2015.0,2.0,동해,영 일 만,2,1,8.4832,8.1054,34.1091,34.104,8.09,8.09,9.670769544441855,9.638967367035153,0.4896186666666671,0.5061226666666666,24.234,28.588,4.186,4.074,93.66,97.244,122.08,129.906,282.53694,286.02084,10.695,11.129,16.99203,18.1536,292.3,306.99,1.9000000000000128,1.7999999999999958,0.462,0.474,8.0,9.471522016429383,영 일 
2015.0,2.0,동해,영 일 만,3,1,8.4317,8.0908,34.1155,34.1047,8.1,8.1,9.642401384965833,9.749268092192585,0.8362026666666684,0.8362026666666684,32.186,31.528,4.1160000000000005,4.088,93.688,94.01,129.99,129.626,281.7483200000001,281.90134,10.788,10.943,18.946579999999997,17.43533,292.3,295.26,2.200000000000008,2.200000000000008,0.4920000000000001,0.488,8.0,9.474631991490309,영 일 
2015.0,2.0,동해,영 일 만,4,1,8.4508,8.0894,34.1268,34.1154,8.1,8.1,9.622096712434848,9.670201944601724,0.7866906666666664,0.6216506666666672,28.938000000000002,37.45,4.1160000000000005,4.032,92.358,93.408,125.412,134.89,284.2798,294.1099000000001,10.788,11.191,17.76734,18.74508,290.3,294.92,1.7999999999999958,1.899999999999985,0.478,0.486,8.0,9.474281492706375,영 일 
2015.0,2.0,동해,영 일 만,5,1,8.8797,8.2218,34.2088,34.1578,8.08,8.09,9.637871777269073,9.540512806200196,0.6546586666666665,0.8692106666666678,12.824000000000002,17.024,3.262,2.814,77.714,60.088,93.8,79.926,242.79528,252.57064,10.292,8.06,17.14114,17.10425,263.2,205.46,1.5000000000000009,1.2999999999999956,0.404,0.494,9.0,9.443185247825662,영 일 
2015.0,2.0,동해,영 일 만,6,1,9.0213,8.8226,34.2404,34.2393,8.08,8.1,9.715393785006599,9.535130014287027,0.6876666666666658,0.8527066666666682,5.9079999999999995,5.782,3.01,2.884,71.582,71.358,80.5,80.024,232.41106,234.31408,10.354,10.385,16.6067,17.49237,257.2,258.22,1.1000000000000176,1.7999999999999958,0.506,0.496,8.0,9.310884223876732,영 일 
2015.0,2.0,동해,영 일 만,7,1,8.9966,8.6733,34.1604,34.199,8.08,8.09,9.696081790805394,9.501475397439114,0.8196986666666658,1.1827866666666669,34.944,7.07,4.018,2.898,91.112,71.064,130.07399999999998,81.032,287.01708,240.39652,10.664,10.354,17.363410000000002,17.326829999999998,288.3,255.84,1.4000000000000123,0.8999999999999841,0.414,0.448,9.0,9.344653748749439,영 일 
2015.0,2.0,동해,영 일 만,8,1,8.8282,8.3163,34.2199,34.2197,8.08,8.09,9.734581352863552,9.58698758061185,0.8857146666666673,0.7041706666666683,12.026,15.274,3.164,2.814,74.872,68.166,90.06200000000003,86.25399999999998,250.25322000000003,233.64208,10.292,10.013,16.73659,15.9619,265.0,253.26,1.0000000000000009,1.0000000000000009,0.386,0.43,11.0,9.419182018049039,영 일 
2015.0,2.0,동해,영 일 만,9,1,9.3262,8.9099,34.233000000000004,34.2393,8.08,8.09,9.452764693963335,9.496348355708907,0.9187226666666668,0.8196986666666658,7.322,5.166,3.192,3.108,75.264,72.898,85.77799999999998,81.172,236.30964,235.94297999999998,10.880999999999998,10.509,16.57105,16.71892,259.4,255.39,0.20000000000000573,0.5999999999999894,0.312,0.444,14.0,9.292638559515343,영 일 
2015.0,2.0,동해,영 일 만,10,1,9.2792,8.5162,34.2453,34.2097,8.06,8.1,9.50863570498872,9.516056889320387,0.7536826666666674,0.7206746666666679,10.052,4.172,3.234,3.192,75.75399999999998,73.962,89.04,81.32600000000002,245.85974,243.21346,10.695,10.633,16.774720000000002,17.01466,255.6,255.86,0.6000000000000172,0.20000000000000573,0.382,0.398,14.0,9.377221215295862,영 일 
2015.0,2.0,동해,영 일 만,11,1,9.2301,8.4352,34.2302,34.2108,8.09,8.09,9.687655409132944,9.515823289427814,0.8527066666666682,0.5721386666666682,12.278,6.02,3.346,3.346,78.946,81.22800000000002,94.57,90.594,262.36392,252.83202000000003,10.292,11.439,17.80857,16.849120000000006,264.6,253.09,0.1,0.1,0.458,0.304,12.0,9.39436078078895,영 일 
2015.0,2.0,동해,영 일 만,12,1,9.5327,9.5084,34.2104,34.2106,8.08,8.09,7.058192066030438,9.252730693306402,0.7206746666666679,0.5391306666666661,4.452,4.045999999999999,3.64,3.514,80.27600000000002,79.77199999999998,88.368,87.33200000000002,245.56224,244.41956,11.656,11.904000000000002,17.27413,16.96041,260.0,259.5,1.3999999999999846,0.7999999999999952,0.376,0.35600000000000004,11.0,9.170959672746338,영 일 
2015.0,2.0,동해,구룡포연안,1,1,9.2273,9.1336,34.2248,34.2284,8.11,8.11,9.475388726999249,9.449627172815532,0.6546586666666665,0.6546586666666665,4.522,5.586,4.5360000000000005,4.424,83.874,82.78200000000002,92.932,92.792,264.57676000000004,256.4618,12.276,12.431,18.88148,18.47569,286.1,283.11,0.1,1.2000000000000066,0.472,0.46,15.0,9.246824723530107,구룡포
2015.0,2.0,동해,구룡포연안,2,1,9.353,9.3499,34.2227,34.2237,8.11,8.11,9.286635261731996,9.3635322947899,0.5226266666666664,0.671162666666666,6.482,5.082,3.892,3.822,80.472,80.164,90.846,89.068,272.43048000000005,267.40994,11.563,11.811,17.42324,17.57142,267.1,267.09,1.6,1.8,0.1066,0.1382,15.0,9.20257541744608,구룡포
2015.0,2.0,대한해협,감포연안,1,1,11.2303,10.0249,34.2708,34.229,8.1,8.06,9.034485844518963,9.036704367762075,0.5721386666666682,0.6381546666666669,5.2639999999999985,8.54,5.376,5.4460000000000015,75.726,89.76799999999999,86.366,103.754,273.38430000000005,282.45952,11.129,14.446,19.95532,21.76665,238.2,302.34,1.2,1.6,0.53,0.67,5.0,9.065794563873373,감포
2015.0,2.0,대한해협,감포연안,2,1,11.636,9.8045,34.2987,34.2145,8.12,8.08,9.302671600006123,9.022069768236113,0.7041706666666683,0.5721386666666682,4.885999999999999,11.032,5.152,5.516,67.41,93.618,77.44800000000002,110.166,265.18128,294.00154,9.703,15.283,19.51295,22.98712,202.7,327.68,1.4000000000000123,2.2999999999999963,1.686,0.8859999999999999,6.0,9.11078686595351,감포
2015.0,2.0,대한해협,감포연안,3,1,12.1473,11.4488,34.3672,34.2854,8.12,8.1,9.007213157408787,8.889274983439726,0.5391306666666661,0.8527066666666682,4.018,8.008,5.25,5.222,57.848,75.908,67.116,89.13799999999998,249.78002,277.09402,9.021,11.16,16.66808,20.78953,161.7,226.52,2.200000000000008,4.3000000000000265,1.406,1.594,8.0,8.78661084541202,감포
2015.0,2.0,대한해협,감포연안,4,2,15.4147,6.3764,33.8818,34.1022,8.14,8.1,9.039659046266163,8.709457683708893,0.6051466666666675,0.6876666666666658,4.172,8.148,5.32,5.362,55.076,89.376,64.568,102.88600000000001,244.96052000000003,283.50756,8.401,13.113,16.22478,22.84204,151.7,269.7,1.5999999999999903,4.200000000000009,1.132,1.45,9.0,9.858619337575316,감포
2015.0,2.0,대한해협,울산연안,1,1,11.19,10.95,34.17,34.15,8.11,8.12,8.824182240169511,8.624247542956825,0.3474773333333298,1.0967253333333309,1.82,3.0380000000000003,4.998,4.592,108.794,111.566,115.612,119.196,238.09016000000003,274.5925,14.849,16.957,22.35534,34.75968,346.98,358.2,4.70000000000001,22.800000000000008,0.8859999999999999,0.904,6.0,8.889090509462019,울산
2015.0,2.0,대한해협,울산연안,2,1,11.26,10.58,34.18,34.1,8.14,8.12,8.671456009089653,8.794016195377234,0.6569493333333319,0.6080853333333299,3.5980000000000003,20.258000000000006,5.992000000000001,6.006,111.272,130.80200000000002,120.86200000000001,157.066,287.03318,318.45828,15.159,18.817,22.30016,31.9889,359.32,405.78,1.1999999999999789,6.0000000000000036,1.074,0.956,5.0,8.963616438701846,울산
2015.0,2.0,대한해협,울산연안,3,2,9.56,10.16,33.6,33.9831,8.1,8.1,8.807212658938418,8.760062464893153,0.9664213333333308,0.8361173333333309,109.42399999999999,61.44600000000001,7.49,6.384,189.308,160.44,306.222,228.27,468.77264,357.2184,26.319000000000006,23.064,36.41539,32.48552,477.62,448.22,4.70000000000001,5.5000000000000036,0.93,0.942,4.0,9.053034169432506,울산
2015.0,2.0,대한해협,울산연안,4,2,9.14,9.3604,33.06,33.3821,8.05,8.03,8.807212658938418,8.386571429568253,0.9012693333333324,1.3410453333333316,196.21,166.894,11.508,8.708,363.412,227.976,571.13,403.578,730.9052800000003,548.50082,30.721,33.046,43.55097,57.26103000000001,581.0,519.99,6.2000000000000135,19.9,0.942,1.262,3.5,9.249964564019965,울산
